DateTime,Médiane,Intervalle de confiance à 95% (low),Intervalle de confiance à 95% (high)
16/06/2020 0:00,0.815919235,0.743938984,0.891175716
17/06/2020 0:00,0.825160074,0.751285586,0.902449232
18/06/2020 0:00,0.830793486,0.755194891,0.909946535
19/06/2020 0:00,0.840283822,0.762789404,0.921473447
20/06/2020 0:00,0.853867483,0.774304911,0.937265124
21/06/2020 0:00,0.87195802,0.790139956,0.957748922
22/06/2020 0:00,0.897109598,0.812733294,0.985593094
23/06/2020 0:00,0.931553232,0.844245556,1.023095091
24/06/2020 0:00,0.974818126,0.884299022,1.069684614
25/06/2020 0:00,1.025735302,0.93187902,1.124030199
26/06/2020 0:00,1.082282213,0.985180835,1.183881934
27/06/2020 0:00,1.136956022,1.037169248,1.241260234
28/06/2020 0:00,1.191621599,1.089716187,1.298016803
29/06/2020 0:00,1.23919202,1.136085291,1.346713146
30/06/2020 0:00,1.274074421,1.170874457,1.381570664
01/07/2020 0:00,1.301048625,1.198568557,1.407672509
02/07/2020 0:00,1.314666158,1.213817223,1.419482169
03/07/2020 0:00,1.321587054,1.222868045,1.424083423
04/07/2020 0:00,1.322194461,1.225959451,1.422013868
05/07/2020 0:00,1.318800042,1.225212022,1.415783468
06/07/2020 0:00,1.31652526,1.225495735,1.410769563
07/07/2020 0:00,1.307860267,1.219529397,1.399235623
08/07/2020 0:00,1.292648847,1.207133407,1.381049279
09/07/2020 0:00,1.273467292,1.19078578,1.358884619
10/07/2020 0:00,1.248807908,1.169007406,1.331205822
11/07/2020 0:00,1.220857283,1.143875079,1.300310924
12/07/2020 0:00,1.187747724,1.113551996,1.264302486
13/07/2020 0:00,1.153764795,1.082170389,1.227619927
14/07/2020 0:00,1.121251625,1.051991282,1.192688723
15/07/2020 0:00,1.085453445,1.018404375,1.154609771
16/07/2020 0:00,1.050440999,0.98535743,1.117576471
17/07/2020 0:00,1.015119801,0.951805627,1.080443825
18/07/2020 0:00,0.983721219,0.92185423,1.047569017
19/07/2020 0:00,0.955046422,0.894344565,1.017713119
20/07/2020 0:00,0.929736933,0.869903964,0.991531676
21/07/2020 0:00,0.911172931,0.851814923,0.972501841
22/07/2020 0:00,0.897429084,0.838230639,0.958618723
23/07/2020 0:00,0.887640007,0.828331195,0.948970384
24/07/2020 0:00,0.879698031,0.820104401,0.941352115
25/07/2020 0:00,0.875765677,0.815666736,0.937970543
26/07/2020 0:00,0.872850721,0.812151685,0.935706158
27/07/2020 0:00,0.871612636,0.81020801,0.935228276
28/07/2020 0:00,0.868141747,0.806077302,0.93247525
29/07/2020 0:00,0.865558208,0.802779151,0.930667075
30/07/2020 0:00,0.862466783,0.798975353,0.928351106
31/07/2020 0:00,0.855024727,0.790966809,0.921541316
01/08/2020 0:00,0.848314699,0.783642531,0.915514492
02/08/2020 0:00,0.838395987,0.773211022,0.906181274
03/08/2020 0:00,0.828146094,0.762426322,0.896544023
04/08/2020 0:00,0.816437764,0.750190793,0.885447664
05/08/2020 0:00,0.804896137,0.738047792,0.874601036
06/08/2020 0:00,0.796776502,0.729096645,0.867417228
07/08/2020 0:00,0.792486987,0.723704029,0.864347701
08/08/2020 0:00,0.795654592,0.725316259,0.869201386
09/08/2020 0:00,0.808386026,0.735935945,0.884188685
10/08/2020 0:00,0.832717143,0.757521531,0.91141999
11/08/2020 0:00,0.866644844,0.788215047,0.948741077
12/08/2020 0:00,0.909217984,0.827203209,0.995053704
13/08/2020 0:00,0.958781453,0.873035603,1.048486274
14/08/2020 0:00,1.015393874,0.925908618,1.108947703
15/08/2020 0:00,1.077007925,0.983995092,1.17416106
16/08/2020 0:00,1.136984875,1.041048962,1.237088659
17/08/2020 0:00,1.199240501,1.100894793,1.3017335
18/08/2020 0:00,1.258989972,1.158995783,1.363062592
19/08/2020 0:00,1.310179892,1.209517807,1.414808152
20/08/2020 0:00,1.35158932,1.251221511,1.455774167
21/08/2020 0:00,1.386334514,1.287021911,1.489285632
22/08/2020 0:00,1.414269008,1.316666297,1.515311869
23/08/2020 0:00,1.43490791,1.339538434,1.533510352
24/08/2020 0:00,1.447945488,1.355219321,1.543696542
25/08/2020 0:00,1.454127695,1.364350673,1.546724813
26/08/2020 0:00,1.450245484,1.363747914,1.539365032
27/08/2020 0:00,1.436072336,1.353105199,1.52147323
28/08/2020 0:00,1.418224838,1.338770715,1.499937018
29/08/2020 0:00,1.395238901,1.319274391,1.473299771
30/08/2020 0:00,1.371567504,1.298909299,1.446175172
31/08/2020 0:00,1.347578415,1.278020177,1.418953848
01/09/2020 0:00,1.324174791,1.257490007,1.392558152
02/09/2020 0:00,1.301249658,1.237241435,1.366849453
03/09/2020 0:00,1.279952879,1.218408064,1.342992748
04/09/2020 0:00,1.264813823,1.205409168,1.325627226
05/09/2020 0:00,1.256974184,1.199375223,1.31590503
06/09/2020 0:00,1.256864144,1.200769565,1.314221281
07/09/2020 0:00,1.264048358,1.209246846,1.32004726
08/09/2020 0:00,1.275316761,1.221747379,1.330019404
09/09/2020 0:00,1.286357512,1.234134685,1.339647331
10/09/2020 0:00,1.293427124,1.24279143,1.34505972
11/09/2020 0:00,1.300234021,1.251247705,1.35014777
12/09/2020 0:00,1.31524976,1.267686867,1.363676324
13/09/2020 0:00,1.340115304,1.293696539,1.387340799
14/09/2020 0:00,1.370513795,1.325078567,1.416704215
15/09/2020 0:00,1.40030922,1.355855474,1.445469999
16/09/2020 0:00,1.424350643,1.381006832,1.468354833
17/09/2020 0:00,1.437195034,1.395203618,1.479800347
18/09/2020 0:00,1.434869907,1.394502027,1.475805738
19/09/2020 0:00,1.418548986,1.37998861,1.457633302
20/09/2020 0:00,1.390517049,1.353847966,1.427669291
21/09/2020 0:00,1.354324231,1.319526339,1.389568704
22/09/2020 0:00,1.312368777,1.279357744,1.345794441
23/09/2020 0:00,1.264157007,1.232862872,1.295837897
24/09/2020 0:00,1.212104689,1.182435296,1.242136598
25/09/2020 0:00,1.160032023,1.131837824,1.188568251
26/09/2020 0:00,1.110969845,1.084059518,1.138205508
27/09/2020 0:00,1.066804362,1.040969781,1.0929512
28/09/2020 0:00,1.028046536,1.003081434,1.053314234
29/09/2020 0:00,0.995711362,0.971405408,1.020313476
30/09/2020 0:00,0.968749684,0.944926497,0.992865329
01/10/2020 0:00,0.945828256,0.922353969,0.969593411
02/10/2020 0:00,0.92819062,0.904931611,0.951740651
03/10/2020 0:00,0.916991042,0.893805823,0.940469003
04/10/2020 0:00,0.912948428,0.889691457,0.936501288
05/10/2020 0:00,0.915892519,0.89242854,0.939656731
06/10/2020 0:00,0.924321279,0.900547163,0.948400823
07/10/2020 0:00,0.936894002,0.91274203,0.961356967
08/10/2020 0:00,0.950499366,0.925962465,0.975352662
09/10/2020 0:00,0.962881464,0.937998844,0.98808528
10/10/2020 0:00,0.97413182,0.948951861,0.999636899
11/10/2020 0:00,0.983591916,0.9581741,1.009337836
12/10/2020 0:00,0.991417712,0.965815574,1.017350099
13/10/2020 0:00,0.997378204,0.971642368,1.023445749
14/10/2020 0:00,1.001669108,0.975842817,1.027828011
15/10/2020 0:00,1.003515211,0.977648078,1.029715393
16/10/2020 0:00,1.003208833,0.977342843,1.029407946
17/10/2020 0:00,1.002331544,0.976483671,1.028512364
18/10/2020 0:00,1.002006902,0.976174151,1.028172318
19/10/2020 0:00,1.002652537,0.976821127,1.028816361
20/10/2020 0:00,1.005522102,0.979659451,1.031717014
21/10/2020 0:00,1.012068323,0.986124828,1.03834398
22/10/2020 0:00,1.021607042,0.995546573,1.047999526
23/10/2020 0:00,1.034876866,1.008660483,1.061424911
24/10/2020 0:00,1.052217936,1.025811877,1.078954888
25/10/2020 0:00,1.073460205,1.046844004,1.100405884
26/10/2020 0:00,1.096075658,1.069271599,1.123206911
27/10/2020 0:00,1.1180022,1.091068048,1.145260193
28/10/2020 0:00,1.138228373,1.111242283,1.165533715
29/10/2020 0:00,1.153904679,1.126981286,1.181141466
30/10/2020 0:00,1.163906483,1.137167587,1.19095178
31/10/2020 0:00,1.167742686,1.141303683,1.194480223
01/11/2020 0:00,1.164530785,1.138501135,1.190850552
02/11/2020 0:00,1.154016323,1.128490664,1.179823482
03/11/2020 0:00,1.135976753,1.111034679,1.161191849
04/11/2020 0:00,1.110840806,1.086540912,1.135405697
05/11/2020 0:00,1.08088799,1.057249241,1.10478446
06/11/2020 0:00,1.048155337,1.025161814,1.071400327
07/11/2020 0:00,1.015524727,0.993118242,1.038177691
08/11/2020 0:00,0.985930804,0.964013286,1.008091261
09/11/2020 0:00,0.960858006,0.939311712,0.982645228
10/11/2020 0:00,0.941462616,0.920158279,0.963007378
11/11/2020 0:00,0.927930118,0.90674228,0.949359252
12/11/2020 0:00,0.92066077,0.899467553,0.942097334
13/11/2020 0:00,0.921200583,0.899871786,0.942775723
14/11/2020 0:00,0.92921309,0.907633561,0.951042621
15/11/2020 0:00,0.944776102,0.922842888,0.966963326
16/11/2020 0:00,0.967852728,0.945479863,0.990483573
17/11/2020 0:00,0.996466121,0.973610189,1.019583539
18/11/2020 0:00,1.028431972,1.00509539,1.052032649
19/11/2020 0:00,1.061157533,1.03739182,1.085188657
20/11/2020 0:00,1.092542778,1.068438506,1.116912188
21/11/2020 0:00,1.120557989,1.096235179,1.145143971
